"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"1";"1. Random";"1. Random";1;374;96;278;504;496
"2";"6. Biased  coin";"6. Biased  coin";1;398;96;302;503;500
"3";"2. Neyman known";"2. Neyman known";1;434;93;341;430;570
"4";"3. RSIHR Known";"3. RSIHR Known";1;454;72;382;350;650
"5";"4. Rosenberger known";"4. Rosenberger known";1;537;30;507;150;850
"6";"5. Optimal adjusted";"5. Optimal adjusted";1;389;105;284;522;478
"7";"1. Random";"1. Random";2;404;106;298;494;506
"8";"6. Biased  coin";"6. Biased  coin";2;403;94;309;502;498
"9";"2. Neyman known";"2. Neyman known";2;424;83;341;455;545
"10";"3. RSIHR Known";"3. RSIHR Known";2;443;69;374;371;629
"11";"4. Rosenberger known";"4. Rosenberger known";2;549;30;519;154;846
"12";"5. Optimal adjusted";"5. Optimal adjusted";2;391;117;274;537;463
"13";"1. Random";"1. Random";3;408;108;300;497;503
"14";"6. Biased  coin";"6. Biased  coin";3;400;101;299;500;500
"15";"2. Neyman known";"2. Neyman known";3;389;93;296;491;509
"16";"3. RSIHR Known";"3. RSIHR Known";3;432;71;361;377;623
"17";"4. Rosenberger known";"4. Rosenberger known";3;521;26;495;156;844
"18";"5. Optimal adjusted";"5. Optimal adjusted";3;378;104;274;522;478
"19";"1. Random";"1. Random";4;419;100;319;495;505
"20";"6. Biased  coin";"6. Biased  coin";4;413;104;309;501;500
"21";"2. Neyman known";"2. Neyman known";4;453;104;349;462;538
"22";"3. RSIHR Known";"3. RSIHR Known";4;466;68;398;355;645
"23";"4. Rosenberger known";"4. Rosenberger known";4;570;27;543;118;882
"24";"5. Optimal adjusted";"5. Optimal adjusted";4;406;118;288;540;460
"25";"1. Random";"1. Random";5;408;104;304;512;488
"26";"6. Biased  coin";"6. Biased  coin";5;424;114;310;500;501
"27";"2. Neyman known";"2. Neyman known";5;404;86;318;451;549
"28";"3. RSIHR Known";"3. RSIHR Known";5;455;86;369;374;626
"29";"4. Rosenberger known";"4. Rosenberger known";5;553;23;530;118;882
"30";"5. Optimal adjusted";"5. Optimal adjusted";5;406;126;280;544;456
"31";"1. Random";"1. Random";6;382;87;295;512;488
"32";"6. Biased  coin";"6. Biased  coin";6;388;89;299;502;499
"33";"2. Neyman known";"2. Neyman known";6;405;72;333;437;563
"34";"3. RSIHR Known";"3. RSIHR Known";6;431;69;362;380;620
"35";"4. Rosenberger known";"4. Rosenberger known";6;543;17;526;142;858
"36";"5. Optimal adjusted";"5. Optimal adjusted";6;372;102;270;545;455
"37";"1. Random";"1. Random";7;384;82;302;509;491
"38";"6. Biased  coin";"6. Biased  coin";7;416;97;319;500;500
"39";"2. Neyman known";"2. Neyman known";7;436;87;349;443;557
"40";"3. RSIHR Known";"3. RSIHR Known";7;460;65;395;367;633
"41";"4. Rosenberger known";"4. Rosenberger known";7;552;28;524;147;853
"42";"5. Optimal adjusted";"5. Optimal adjusted";7;387;93;294;527;473
"43";"1. Random";"1. Random";8;399;105;294;520;480
"44";"6. Biased  coin";"6. Biased  coin";8;417;109;308;505;498
"45";"2. Neyman known";"2. Neyman known";8;434;91;343;457;543
"46";"3. RSIHR Known";"3. RSIHR Known";8;449;70;379;382;618
"47";"4. Rosenberger known";"4. Rosenberger known";8;557;21;536;147;853
"48";"5. Optimal adjusted";"5. Optimal adjusted";8;404;106;298;529;471
"49";"1. Random";"1. Random";9;412;90;322;498;502
"50";"6. Biased  coin";"6. Biased  coin";9;398;92;306;501;500
"51";"2. Neyman known";"2. Neyman known";9;408;76;332;446;554
"52";"3. RSIHR Known";"3. RSIHR Known";9;437;64;373;386;614
"53";"4. Rosenberger known";"4. Rosenberger known";9;552;38;514;149;851
"54";"5. Optimal adjusted";"5. Optimal adjusted";9;367;89;278;537;463
"55";"1. Random";"1. Random";10;422;91;331;490;510
"56";"6. Biased  coin";"6. Biased  coin";10;412;104;308;502;500
"57";"2. Neyman known";"2. Neyman known";10;440;89;351;450;550
"58";"3. RSIHR Known";"3. RSIHR Known";10;499;69;430;334;666
"59";"4. Rosenberger known";"4. Rosenberger known";10;578;28;550;135;865
"60";"5. Optimal adjusted";"5. Optimal adjusted";10;403;122;281;543;457
"61";"1. Random";"1. Random";11;408;85;323;463;537
"62";"6. Biased  coin";"6. Biased  coin";11;399;100;299;498;502
"63";"2. Neyman known";"2. Neyman known";11;417;102;315;479;521
"64";"3. RSIHR Known";"3. RSIHR Known";11;459;79;380;359;641
"65";"4. Rosenberger known";"4. Rosenberger known";11;530;33;497;148;852
