"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"1";"20. Neyman CARA";"20. Neyman CARA";1;412;102;310;494;506
"2";"20. Neyman CARA";"20. Neyman CARA";1;407;103;304;509;491
"3";"20. Neyman CARA";"20. Neyman CARA";1;400;112;288;534;466
"4";"20. Neyman CARA";"20. Neyman CARA";1;387;96;291;515;485
"5";"20. Neyman CARA";"20. Neyman CARA";2;414;113;301;505;495
"6";"20. Neyman CARA";"20. Neyman CARA";2;415;109;306;509;491
"7";"20. Neyman CARA";"20. Neyman CARA";2;410;127;283;546;454
"8";"20. Neyman CARA";"20. Neyman CARA";2;423;91;332;459;541
"9";"20. Neyman CARA";"20. Neyman CARA";3;404;93;311;503;497
"10";"20. Neyman CARA";"20. Neyman CARA";3;415;92;323;463;537
"11";"20. Neyman CARA";"20. Neyman CARA";3;413;99;314;503;497
"12";"20. Neyman CARA";"20. Neyman CARA";3;404;96;308;490;510
"13";"20. Neyman CARA";"20. Neyman CARA";4;407;103;304;520;480
"14";"20. Neyman CARA";"20. Neyman CARA";4;389;109;280;538;462
"15";"20. Neyman CARA";"20. Neyman CARA";4;390;117;273;556;444
"16";"20. Neyman CARA";"20. Neyman CARA";4;417;90;327;455;545
"17";"20. Neyman CARA";"20. Neyman CARA";5;404;96;308;508;492
"18";"20. Neyman CARA";"20. Neyman CARA";5;408;92;316;481;519
"19";"20. Neyman CARA";"20. Neyman CARA";5;375;121;254;568;432
"20";"20. Neyman CARA";"20. Neyman CARA";5;409;97;312;478;522
"21";"20. Neyman CARA";"20. Neyman CARA";6;401;100;301;494;506
"22";"20. Neyman CARA";"20. Neyman CARA";6;409;96;313;487;513
"23";"20. Neyman CARA";"20. Neyman CARA";6;400;86;314;484;516
"24";"20. Neyman CARA";"20. Neyman CARA";6;400;93;307;497;503
"25";"20. Neyman CARA";"20. Neyman CARA";7;398;101;297;518;482
"26";"20. Neyman CARA";"20. Neyman CARA";7;403;100;303;508;492
"27";"20. Neyman CARA";"20. Neyman CARA";7;361;122;239;589;411
"28";"20. Neyman CARA";"20. Neyman CARA";7;405;92;313;482;518
"29";"20. Neyman CARA";"20. Neyman CARA";8;395;102;293;504;496
"30";"20. Neyman CARA";"20. Neyman CARA";8;395;117;278;530;470
"31";"20. Neyman CARA";"20. Neyman CARA";8;420;80;340;418;582
"32";"20. Neyman CARA";"20. Neyman CARA";8;394;102;292;496;504
"33";"20. Neyman CARA";"20. Neyman CARA";9;387;110;277;530;470
"34";"20. Neyman CARA";"20. Neyman CARA";9;384;104;280;532;468
"35";"20. Neyman CARA";"20. Neyman CARA";9;365;123;242;582;418
"36";"20. Neyman CARA";"20. Neyman CARA";9;390;106;284;515;485
"37";"20. Neyman CARA";"20. Neyman CARA";10;412;97;315;481;519
"38";"20. Neyman CARA";"20. Neyman CARA";10;400;99;301;490;510
"39";"20. Neyman CARA";"20. Neyman CARA";10;395;107;288;522;478
"40";"20";"20. Neyman CARA";10;386;97;289;522;478
